listview__name-link,listview__mpn
"Samsung OEM Datacenter SSD PM9A3 1.92TB, M.2 22110/M-Key/PCIe 4.0 x4",MZ1L21T9HCLS-00A07
"Samsung OEM Datacenter SSD PM9A3 3.84TB, M.2 22110/M-Key/PCIe 4.0 x4",MZ1L23T8HBLA-00A07
"Samsung OEM Datacenter SSD PM9A3 960GB, M.2 22110/M-Key/PCIe 4.0 x4",MZ1L2960HCJR-00A07
"Samsung SSD PM983 1.92TB, M.2 22110/M-Key/PCIe 3.0 x4",MZ1LB1T9HALS-00007
"Samsung SSD PM983 3.84TB, M.2 22110/M-Key/PCIe 3.0 x4",MZ1LB3T8HMLA-00007
"Samsung OEM Datacenter SSD SM883 1.92TB, 2.5""/SATA 6Gb/s",MZ7KH1T9HAJR-00005
"Samsung OEM Datacenter SSD SM883 240GB, 2.5""/SATA 6Gb/s",MZ7KH240HAHQ-00005
"Samsung OEM Datacenter SSD SM883 3.84TB, 2.5""/SATA 6Gb/s",MZ7KH3T8HALS-00005
"Samsung OEM Datacenter SSD SM883 480GB, 2.5""/SATA 6Gb/s",MZ7KH480HAHQ-00005
"Samsung OEM Datacenter SSD SM883 960GB, 2.5""/SATA 6Gb/s",MZ7KH960HAJR-00005
"Samsung SSD SM863a 960GB, 2.5""/SATA 6Gb/s",MZ7KM960HMJP-00005
"Samsung OEM Datacenter SSD PM893 1.92TB, 2.5""/SATA 6Gb/s",MZ7L31T9HBLT-00A07
"Samsung OEM Datacenter SSD PM897 1.92TB, 2.5""/SATA 6Gb/s",MZ7L31T9HBNA-00A07
"Samsung OEM Datacenter SSD PM897 3.84TB, 2.5""/SATA 6Gb/s",MZ7L33T8HBNA-00A07
"Samsung OEM Datacenter SSD PM893 480GB, 2.5""/SATA 6Gb/s",MZ7L3480HCHQ-00A07
"Samsung OEM Datacenter SSD PM893 7.68TB, 2.5""/SATA 6Gb/s",MZ7L37T6HBLA-00A07
"Samsung OEM Datacenter SSD PM893 960GB, 2.5""/SATA 6Gb/s",MZ7L3960HCJR-00A07
"Samsung OEM Datacenter SSD PM883 1.92TB, 2.5""/SATA 6Gb/s",MZ7LH1T9HMLT-00005
"Samsung OEM Datacenter SSD PM883 240GB, 2.5""/SATA 6Gb/s",MZ7LH240HAHQ-00005
"Samsung OEM Datacenter SSD PM883 3.84TB, 2.5""/SATA 6Gb/s",MZ7LH3T8HMLT-00005
"Samsung OEM Datacenter SSD PM883 480GB, 2.5""/SATA 6Gb/s",MZ7LH480HAHQ-00005
"Samsung OEM Datacenter SSD PM883 960GB, 2.5""/SATA 6Gb/s",MZ7LH960HAJR-00005
SAMSUNG PM1653 SAS 24Gbps SSD 15.36TB,MZILG15THBLA-00A07
"Samsung PM1653 OEM Enterprise 2.5 SAS 1.92 TB (1920 GB, 2.5"")",MZILG1T9HCJR-00A07
SSD Samsung PM1653 3.84TB 2.5 SAS 24Gb/s MZILG3T8HCLS-00A07 (DWPD 1),MZILG3T8HCLS-00A07
"Samsung PM1653 OEM Enterprise 2.5 SAS 960 GB (960 GB, 2.5"")",MZILG960HCHQ-00A07
"Samsung OEM Enterprise SSD PM1643a 15.36TB, 2.5""/SAS 12Gb/s",MZILT15THALA-00007
"Samsung OEM Enterprise SSD PM1643 15.36TB, 2.5""/SAS 12Gb/s",MZILT15THMLA-00007
"Samsung OEM Enterprise SSD PM1643 1.92TB, 2.5""/SAS 12Gb/s",MZILT1T9HAJQ-00007
"Samsung OEM Enterprise SSD PM1643a 1.92TB, 2.5""/SAS 12Gb/s",MZILT1T9HBJR-00007
"Samsung OEM Enterprise SSD PM1643a 30.72TB, 2.5""/SAS 12Gb/s",MZILT30THALA-00007
"Samsung OEM Enterprise SSD PM1643 30.72TB, 2.5""/SAS 12Gb/s",MZILT30THMLA-00007
"Samsung OEM Enterprise SSD PM1643 3.84TB, 2.5""/SAS 12Gb/s",MZILT3T8HALS-00007
"Samsung OEM Enterprise SSD PM1643a 3.84TB, 2.5""/SAS 12Gb/s",MZILT3T8HBLS-00007
"Samsung OEM Enterprise SSD PM1643a 7.68TB, 2.5""/SAS 12Gb/s",MZILT7T6HALA-00007
"Samsung OEM Enterprise SSD PM1643 7.68TB, 2.5""/SAS 12Gb/s",MZILT7T6HMLA-00007
"Samsung OEM Enterprise SSD PM1643 960GB, 2.5""/SAS 12Gb/s",MZILT960HAHQ-00007
"Samsung OEM Enterprise SSD PM1643a 960GB, 2.5""/SAS 12Gb/s",MZILT960HBHQ-00007
"Samsung OEM Enterprise SSD PM1735 12.8TB, Add-In Card/PCIe 4.0 x8",MZPLJ12THALA-00007
"Samsung OEM Enterprise SSD PM1735 1.6TB, Add-In Card/PCIe 4.0 x8",MZPLJ1T6HBJR-00007
"Samsung OEM Enterprise SSD PM1735 3.2TB, Add-In Card/PCIe 4.0 x8",MZPLJ3T2HBJR-00007
"Samsung OEM Enterprise SSD PM1735 6.4TB, Add-In Card/PCIe 4.0 x8",MZPLJ6T4HALA-00007
"Samsung OEM Enterprise SSD PM1725b 12.8TB, Add-In Card/PCIe 3.0 x8",MZPLL12THMLA
"Samsung OEM Enterprise SSD PM1725b 1.6TB, Add-In Card/PCIe 3.0 x8",MZPLL1T6HAJQ
"Samsung OEM Enterprise SSD PM1725a HH-HL 1.6TB, Add-In Card/PCIe 3.0 x8",MZPLL1T6HEHP-00003
"Samsung OEM Enterprise SSD PM1725b 3.2TB, Add-In Card/PCIe 3.0 x8",MZPLL3T2HAJQ
"Samsung OEM Enterprise SSD PM1725a HH-HL 3.2TB, Add-In Card/PCIe 3.0 x8",MZPLL3T2HMLS-00003
"Samsung OEM Enterprise SSD PM1725b 6.4TB, Add-In Card/PCIe 3.0 x8",MZPLL6T4HMLA
"Samsung OEM Enterprise SSD PM1725a HH-HL 6.4TB, Add-In Card/PCIe 3.0 x8",MZPLL6T4HMLS-00003
"Samsung OEM Datacenter SSD PM9A3 15.36TB, 2.5""/U.2/PCIe 4.0 x4",MZQL215THBLA-00A07
"Samsung OEM Datacenter SSD PM9A3 1.92TB, 2.5""/U.2/PCIe 4.0 x4",MZQL21T9HCJR-00A07
"Samsung OEM Datacenter SSD PM9A3 3.84TB, 2.5""/U.2/PCIe 4.0 x4",MZQL23T8HCJS-00A07 / MZQL23T8HCLS-00A07
"Samsung OEM Datacenter SSD PM9A3 7.68TB, 2.5""/U.2/PCIe 4.0 x4",MZQL27T6HBLA-00A07
"Samsung OEM Datacenter SSD PM9A3 960GB, 2.5""/U.2/PCIe 4.0 x4",MZQL2960HCJR-00A07
"Samsung SSD PM983 1.92TB, 2.5""/U.2/PCIe 3.0 x4",MZQLB1T9HAJR-00007
"Samsung SSD PM983 7.68TB, 2.5""/U.2/PCIe 3.0 x4",MZQLB7T6HMLA-00007
"Samsung SSD PM983 960GB, 2.5""/U.2/PCIe 3.0 x4",MZQLB960HAJR-00007
"Samsung OEM Client SSD PM9A1 1TB, M.2 2280/M-Key/PCIe 4.0 x4",MZVL21T0HCLR-00B00
"Samsung OEM Client SSD PM981a 1TB, M.2 2280/M-Key/PCIe 3.0 x4",MZVLB1T0HBLR-00000
"Samsung OEM Enterprise SSD PM1733 15.36TB, 2.5""/U.2/PCIe 4.0 x4",MZWLJ15THALA-00007
"Samsung OEM Enterprise SSD PM1733 1.92TB, 2.5""/U.2/PCIe 4.0 x4",MZWLJ1T9HBJR-00007
"Samsung OEM Enterprise SSD PM1733 3.84TB, 2.5""/U.2/PCIe 4.0 x4",MZWLJ3T8HBLS-00007
