"thumbnail href","CategoryProductThumbnail src","h5","CategoryProductPrice","CategoryProductAvailability","CategoryProductItemNr","pad-t-20","thumbnail href 2","CategoryProductThumbnail src 2","h5 2","CategoryProductPrice 2","CategoryProductAvailability 2","CategoryProductItemNr 2","pad-t-20 2","thumbnail href 3","CategoryProductThumbnail src 3","h5 3","CategoryProductPrice 3","CategoryProductAvailability 3","CategoryProductItemNr 3","pad-t-20 3","thumbnail href 4","CategoryProductThumbnail src 4","h5 4","CategoryProductPrice 4","CategoryProductAvailability 4","CategoryProductItemNr 4","pad-t-20 4","CategoryProductPrice href","CategoryProductPrice href 2","CategoryProductPrice href 3","CategoryProductPrice href 4"
"https://www.vibrant.com/3com-3CXFP92.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2f3com-3CXFP92-1.jpg&bh=250","3com 3CXFP92 X134 10G XFP LC LR Transceiver","$89.00","Availability: In Stock","3CXFP92","3com 3CXFP92 X134 10G XFP LC LR TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-0231A0LD.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd15qtt05c8rmkb.cloudfront.net%2fvibrant.jpg&bh=250","HP 0231A0LD X130 10G XFP LC LR TRANSCEIVER","$100.00","Availability: In Stock","0231A0LD","HP 0231A0LD X130 10G XFP LC LR TRANSCEIVERThis item is Used. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-292005-001.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-292005-001-1.jpg&bh=250","HP 292005-001 35KM Long-Distance Optical Transceiver Kit","$24.99","Availability: In Stock","292005-001","HP 292005-001 35KM Long-Distance Optical Transceiver KitThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-300836-B21.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-300836-B21-1.jpg&bh=250","HP 300836-B21 35KM Long-Distance Optical Transceiver Kit","$24.99","Availability: In Stock","300836-B21","HP 300836-B21 35KM Long-Distance Optical Transceiver KitThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","","","",""
"https://www.vibrant.com/HP-416829-002.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-416829-002-1.jpg&bh=250","HP 416829-002 B-Series Switch 4GB 10KM Long Wave Transceiver","$6.95","Availability: Contact for Availability","416829-002","HP 416829-002 B-SERIES SWITCH 4GB 10KM LONG WAVE TRANSCEIVERThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-468508-001.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-468508-001-1.jpg&bh=250","HP 468508-001 8GB Short Wave Fiber Channel SFP+ 1 Pack Transceiver","$5.45","Availability: In Stock","468508-001","HP 468508-001 8GB Short Wave Fiber Channel SFP+ 1 Pack TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-468508-002.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd15qtt05c8rmkb.cloudfront.net%2fvibrant.jpg&bh=250","HP 468508-002 8GB Short Wave Fiber Channel SFP+ 1 Pack Transceiver","$25.00","Availability: In Stock","468508-002","HP 468508-002 8GB Short Wave Fiber Channel SFP+ 1 Pack TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-5697-5715.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-5697-5715-1.jpg&bh=250","HP 5697-5715 4GB Longwave Sfp Optical Transceiver 10km","Contact for Pricing","Availability: In Stock","5697-5715","HP 5697-5715 4GB Longwave Sfp Optical Transceiver 10kmThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","","",""
"https://www.vibrant.com/HP-5697-6994.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-5697-6994-1.jpg&bh=250","HP 5697-6994 B-Series Switch 4GB 10KM Long Wave Transceiver","$3.00","Availability: Contact for Availability","5697-6994","HP 5697-6994 B-SERIES SWITCH 4GB 10KM LONG WAVE TRANSCEIVERThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-AE493A.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-AE493A-1.jpg&bh=250","HP AE493A B-Series Switch 4GB 10KM Long Wave Transceiver","$24.99","Availability: Contact for Availability","AE493A","HP AE493A B-Series Switch 4GB 10KM Long Wave TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-AJ718A.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-AJ718A-1.jpg&bh=250","HP AJ718A 8GB Short Wave Fiber Channel SFP+ 1 Pack Transceiver","Contact for Pricing","Availability: In Stock","AJ718A","HP AJ718A 8GB Short Wave Fiber Channel SFP+ 1 Pack TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-FTRJ1419P1BCL.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-FTRJ1419P1BCL-1.jpg&bh=250","HP FTRJ1419P1BCL 35KM LONG-DISTANCE OPTICAL TRANSCEIVER KIT","Contact for Pricing","Availability: In Stock","FTRJ1419P1BCL","HP FTRJ1419P1BCL 35KM LONG-DISTANCE OPTICAL TRANSCEIVER KITThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","mailto:sales@vibrant.com","",""
"https://www.vibrant.com/HP-J4858-69001.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-J4858-69001-1.jpg&bh=250","HP J4858-69001 X121 1G SFP LC SX Transceiver","$15.00","Availability: In Stock","J4858-69001","HP J4858-69001 X121 1G SFP LC SX TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-J4858-69101.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-J4858-69101-1.jpg&bh=250","HP J4858-69101 X121 1G SFP LC SX Transceiver","$15.00","Availability: In Stock","J4858-69101","HP J4858-69101 X121 1G SFP LC SX TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-J4858A.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-J4858A-1.jpg&bh=250","HP J4858A X121 1G SFP LC SX Transceiver","$15.00","Availability: In Stock","J4858A","HP J4858A X121 1G SFP LC SX TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-JD108-61201.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd15qtt05c8rmkb.cloudfront.net%2fvibrant.jpg&bh=250","HP JD108-61201 X130 10G XFP LC LR TRANSCEIVER","$100.00","Availability: In Stock","JD108-61201","HP JD108-61201 X130 10G XFP LC LR TRANSCEIVERThis item is Used. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","","","",""
"https://www.vibrant.com/HP-JD108B.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd15qtt05c8rmkb.cloudfront.net%2fvibrant.jpg&bh=250","HP JD108B X130 10G XFP LC LR TRANSCEIVER","$100.00","Availability: In Stock","JD108B","HP JD108B X130 10G XFP LC LR TRANSCEIVERThis item is Used. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-JSH-42L3AB3-20.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-JSH-42L3AB3-20-1.jpg&bh=250","HP JSH-42L3AB3-20 B-Series Switch 4GB 10KM Long Wave Transceiver","$25.00","Availability: Contact for Availability","JSH-42L3AB3-20","HP JSH-42L3AB3-20 B-SERIES SWITCH 4GB 10KM LONG WAVE TRANSCEIVERThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-JSH-42L3AB3-HP.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-JSH-42L3AB3-HP-1.jpg&bh=250","HP JSH-42L3AB3 4GB Longwave SFP Optical Transceiver 10km","$69.99","Availability: In Stock","JSH-42L3AB3-HP","HP JSH-42L3AB3 4GB Longwave SFP Optical Transceiver 10kmThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-TRF5013FN-GA000.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-TRF5013FN-GA000-1.jpg&bh=250","HP TRF5013FN-GA000 10G 1310nm 10KM XFP Transceiver Module","Contact for Pricing","Availability: In Stock","TRF5013FN-GA000","HP TRF5013FN-GA000 10G 1310nm 10KM XFP Transceiver ModuleThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","","",""
"https://www.vibrant.com/CISCO-XENPAK-10GB-SR.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCISCO-XENPAK-10GB-SR-1.jpg&bh=250","CISCO XENPAK-10GB-SR 10GBASE XENPAK - XENPAK transceiver module","$10.00","Availability: In Stock","XENPAK-10GB-SR","10GBASE XENPAK - XENPAK transceiver module - 10GBase-SR - SC multi-mode - plug-in moduleThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/Cisco-X2-10GB-LX4.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-X2-10GB-LX4-1.jpg&bh=250","Cisco X2-10GB-LX4 10GBASE-LX4-X2 (Multimode Fiber) Transceiver","$5.00","Availability: In Stock","X2-10GB-LX4","Cisco X2-10GB-LX4 10GBASE-LX4-X2 (Multimode Fiber) Transceiver Cisco OriginalThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/Cisco-X2-10GB-LRM.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-X2-10GB-LRM-1.jpg&bh=250","Cisco X2-10GB-LRM 10GBASE-LRM SFP+ Transceiver Cisco Original","$15.99","Availability: In Stock","X2-10GB-LRM","Cisco X2-10GB-LRM 10GBASE-LRM SFP+ Transceiver Module Cisco OriginalThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/Cisco-WS-G5483.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-WS-G5483-1.jpg&bh=250","Cisco WS-G5483 1000TX Copper GBIC Transceiver Module","Contact for Pricing","Availability: Contact for Availability","WS-G5483","Cisco WS-G5483 1000TX Copper GBIC Transceiver ModuleThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","","",""
"https://www.vibrant.com/Cisco-SFP-10G-LRM-New.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-SFP-10G-LRM-New-1.jpg&bh=250","Cisco Original SFP-10G-LRM 10GBASE-LRM SFP+ Transceiver Module LC/PC +980FT","$5.00","Availability: Contact for Availability","SFP-10G-LRM-New","Cisco Original SFP-10G-LRM 10GBASE-LRM SFP+ Transceiver Module LC/PC +980FTThis item is New Sealed.","https://www.vibrant.com/Cisco-GLC-ZX-SM.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-GLC-ZX-SM-1.jpg&bh=250","Genuine Cisco Original GLC-ZX-SM 1000Base ZX SFP Transceiver","Contact for Pricing","Availability: Contact for Availability","GLC-ZX-SM","Genuine Cisco Original GLC-ZX-SM 1000Base ZX SFP Transceiver“GENUINE CISCO, REFURBISHED, 3 YEAR WARRANTY”This item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/CISCO-GLC-SX-MMD.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCISCO-GLC-SX-MMD-1.jpg&bh=250","CISCO GLC-SX-MMD 1000Base-SX SFP Transceiver DOM","Contact for Pricing","Availability: In Stock","GLC-SX-MMD","CISCO GLC-SX-MMD 1000Base-SX SFP Transceiver DOMThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/Cisco-GLC-LH-SM.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-GLC-LH-SM-1.jpg&bh=250","Cisco GLC-LH-SM 1000BASE-LX/LH SFP Transceiver Module 30-1299-01","Contact for Pricing","Availability: Contact for Availability","GLC-LH-SM","Cisco GLC-LH-SM 1000BASE-LX/LH SFP Transceiver Module 30-1299-01 CISCO ORIGINALThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","mailto:sales@vibrant.com","mailto:sales@vibrant.com",""
"https://www.vibrant.com/Finisar-FTLF8528P2BCV-QL.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fFinisar-FTLF8528P2BCV-QL-1.jpg&bh=250","Finisar FTLF8528P2BCV-QL 8GB SFP Transceiver","$20.00","Availability: In Stock","FTLF8528P2BCV-QL","Finisar FTLF8528P2BCV-QL 8GB SFP TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/Cisco-SFP-GE-T.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-SFP-GE-T-1.jpg&bh=250","Cisco SFP-GE-T 1Port Copper Gigabit Ethernet Transceiver 1000Base","$5.00","Availability: In Stock","SFP-GE-T","Cisco SFP-GE-T 1-Port Copper Gigabit Ethernet SFP Transceiver 1000 BaseeThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/Cisco-DS-SFP-FC8G-SW-NEW.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-DS-SFP-FC8G-SW-NEW-1.jpg&bh=250","Cisco DS-SFP-FC8G-SW 2/4/8Gbps Transceiver FC SW SFP, LC","$3.00","Availability: Contact for Availability","DS-SFP-FC8G-SW-NEW","Cisco DS-SFP-FC8G-SW 2/4/8GBPS Transceiver FC SW SFP, LC NEW, SEALED IN ORIGINAL BAGBulk orders welcome.This item is New.","https://www.vibrant.com/Cisco-DS-SFP-FC8G-SW.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCisco-DS-SFP-FC8G-SW-1.jpg&bh=250","Cisco DS-SFP-FC8G-SW 2/4/8GBPS Transceiver FC SW SFP, LC original","Contact for Pricing","Availability: In Stock","DS-SFP-FC8G-SW","Cisco DS-SFP-FC8G-SW 2/4/8GBPS Transceiver FC SW SFP, LC originalThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","","",""
"https://www.vibrant.com/CISCO-DS-SFP-FC16G-SW.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fCISCO-DS-SFP-FC16G-SW-1.jpg&bh=250","CISCO DS-SFP-FC16G-SW SFP+ transceiver module - LC multi-mode","$15.00","Availability: Contact for Availability","DS-SFP-FC16G-SW","16 GBPS FC S/W SFP+ LCCisco - SFP+ transceiver module - LC multi-mode - up to 1310 ft - 850 nm - for P/N: DS-X9448-768K9=The Cisco 16-Gbps Fiber Channel SFP+ transceiver is designed to provide Fiber Channel connectivity for the 16-Gbps ports.This item is New.","https://www.vibrant.com/OEM-AFBR-57R5AEZ.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd15qtt05c8rmkb.cloudfront.net%2fvibrant.jpg&bh=250","OEM AFBR-57R5AEZ 4GPS SFP Shortwave SW GBIC Optical Transceiver","$20.00","Availability: In Stock","AFBR-57R5AEZ","OEM AFBR-57R5AEZ 4GPS SFP Shortwave SW GBIC Optical TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/AVAGO-AFBR-57D7AMZ-QL.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fAVAGO-AFBR-57D7AMZ-QL-1.jpg&bh=250","AVAGO AFBR-57D7AMZ-QL 8GB SFP Optical Transceiver Avago","$25.00","Availability: In Stock","AFBR-57D7AMZ-QL","AVAGO AFBR-57D7AMZ-QL 8GB SFP Optical Transceiver AvagoThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/IBM-44W4411.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fIBM-44W4411-1.jpg&bh=250","IBM 44W4411 10Gb 850NM Fiber SFP Transceiver","Contact for Pricing","Availability: In Stock","44W4411","IBM 44W4411 10Gb 850NM Fiber SFP TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","","",""
"https://www.vibrant.com/HP-J4858C.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-J4858C-1.jpg&bh=250","HP J4858C Original X121 1G SFP LC SX Transceiver","Contact for Pricing","Availability: Contact for Availability","J4858C","HP J4858C Original X121 1G SFP LC SX TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-J4858-69201.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-J4858-69201-1.jpg&bh=250","HP J4858-69201 HP Original X121 1G SFP LC SX Transceiver","Contact for Pricing","Availability: Contact for Availability","J4858-69201","HP J4858-69201 HP Original X121 1G SFP LC SX TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/HP-1990-3657.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd68bu9da8k2nr.cloudfront.net%2fHP-1990-3657-1.jpg&bh=250","HP 1990-3657 HP Original X121 1G SFP LC SX Transceiver","Contact for Pricing","Availability: Contact for Availability","1990-3657","HP 1990-3657 HP Original X121 1G SFP LC SX TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","https://www.vibrant.com/OEM-AUI-RJ45.html","https://www.vibrant.com/resize?po=https%3a%2f%2fd15qtt05c8rmkb.cloudfront.net%2fvibrant.jpg&bh=250","OEM AUI-RJ45 Aui/Rj45 10Bt Transceiver","Contact for Pricing","Availability: Contact for Availability","AUI-RJ45","OEM AUI-RJ45 Aui/Rj45 10Bt TransceiverThis item is Refurbished. This item has been tested by Vibrant's team of experienced technicians test to ensure proper operation.","mailto:sales@vibrant.com","mailto:sales@vibrant.com","mailto:sales@vibrant.com","mailto:sales@vibrant.com"
