"woocommerce-LoopProduct-link href","attachment-woocommerce_thumbnail src","woocommerce-loop-product__title","woocommerce-product-details__short-description","woocommerce-product-details__short-description 2","woocommerce-product-details__short-description 6","woocommerce-product-details__short-description 7"
"https://ii-vi.com/product/100g-zr-qsfp28-digital-coherent-optics-dco-transceiver/","https://ii-vi.com/wp-content/uploads/2023/04/100ZR-300x300.jpg","100G ZR QSFP28 Digital Coherent Optics (DCO) Transceiver",": QSFP28 : 120 km 
: 100 Gb/s : C-Band DWDM Tunable 
: 100G Ethernet Compliant","FTLC3351S3PL1","Wavelength","Protocol"
"https://ii-vi.com/product/400g-zr-qsfp-dd-dco-high-tx-output-power-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2022/02/FTCD3323R1PC-withcap-300x300.jpg","400G ZR+ QSFP-DD-DCO High Tx Output Power Optical Transceiver",": QSFP-DD : > 600 km
: 400 Gb/s : C-Band DWDM Tunable 
: 400G Ethernet Compatible","FTCD3323R1PCL","Wavelength","Protocol"
"https://ii-vi.com/product/100g-100m-swdm4-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC9152-300x300.jpg","100G 100m SWDM4 QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 103.1 Gb/s : 850nm Band 
: 100G Ethernet Compliant","FTLC9152RGPL","Wavelength","Protocol"
"https://ii-vi.com/product/400gbase-sr8-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/09/400GBASE-SR8-QSFP-DD-300x300.jpg","400GBASE-SR8 QSFP-DD Optical Transceiver",": QSFP-DD : 100 m 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD8613E2PCM","Wavelength","Protocol"
"https://ii-vi.com/product/400gbase-lr4-10km-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTCD1323-300x300.jpg","400GBASE-LR4 10km Gen 2 QSFP-DD Optical Transceiver",": QSFP-DD : 10 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD4323E2PCL","Wavelength","Protocol"
"https://ii-vi.com/product/400gbase-lr4-10km-gen-3-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTCD1323-300x300.jpg","400GBASE-LR4 10km Gen 3 QSFP-DD Optical Transceiver",": QSFP-DD : 10 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD4323E3PCL","Wavelength","Protocol"
"https://ii-vi.com/product/800g-dr8-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2023/09/800G-QR-DSFP-300x300.jpg","800G DR8 QSFP-DD Optical Transceiver",": QSFP-DD : 500 m 
: 850 Gb/s : 1310nm Band 
: 800G Ethernet Compliant","FTCE4516E1PxM","Wavelength","Protocol"
"https://ii-vi.com/product/400g-dr4-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2022/10/400G-QSFP_DD-DR4-300x300.jpg","400G-DR4+ QSFP-DD Optical Transceiver",": QSFP-DD : 2 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD4533E2PxM","Wavelength","Protocol"
"https://ii-vi.com/product/400gbase-dr4-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2022/10/400G-QSFP_DD-DR4-300x300.jpg","400GBASE-DR4 QSFP-DD Optical Transceiver",": QSFP-DD : 500 m 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD4523E2PxM","Wavelength","Protocol"
"https://ii-vi.com/product/4x100g-lr-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2022/10/400G-QSFP_DD-DR4-300x300.jpg","4x100G-LR QSFP-DD Optical Transceiver",": QSFP-DD : 10 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD4543E2PxM","Wavelength","Protocol"
